finding_id,priority,category,description,evidence,impact,recommended_stage,blocking
D1B1-P0-001,P0,Live Engine,Macro5 has no live source loader or daily recalculation path.,live_extension_connected=False; macro5_network_request_count=0,Frozen 2026-07-28 state can be mistaken for current trading signal.,D1-C1,True
D1B1-P0-002,P0,Source Policy,HY/IG/Credit Stress proxy-only KOSPI policy is not implemented in dashboard runtime.,source_config_snapshot.yaml proxy_v1; Macro5 runtime frozen only,Wrong source stitching could reproduce earlier Macro4 mismatch problem.,D1-C1,True
D1B1-P0-003,P0,Availability,KOSPI source availability lags are not applied in Macro5 runtime.,"source config lags: USDKRW/VIX/rates=1, NFCI=3; no macro5 live compute",Live signal could use unavailable data if implemented naively.,D1-C1,True
D1B1-P0-004,P0,KRX Freshness,No independent KRX expected-latest calendar or stale defense exists.,Macro5 displays frozen date only; no KRX function,Cloud stale Yahoo issue can silently recur for KOSPI.,D1-C2,True
D1B1-P0-005,P0,Parity,Historical live-path overlap parity is not yet possible because live path does not exist.,D1-A/D1-B asset parity passes only for frozen references,Cannot approve as live shadow/operational signal.,D1-C1,True
D1B1-P0-006,P0,Missing Handling,Live missing component behavior is undefined; missing-as-risk-on must be blocked.,Frozen component rows include valid_signal; runtime active count uses available frozen rows,A missing live source could lower active_count and suppress Risk-off.,D1-C1,True
D1B1-P0-007,P0,Combo2 Semantics,"Combo2 live calculation must use Combo1 raw risk_state, not T+1 position.",existing_t1_position[t] == combo1_raw_risk_state[t-1],A one-day shift error would invert execution timing.,D1-C1,True
D1B1-P1-001,P1,Component Coverage,"Final9 uses 41 unique display components, including 17 lower Combo1 raw states for Combo2.","core15_unique=24, combo1_raw_unique=17","Live engine needs non-displayed lower Combo1 reconstruction, not just visible Final9 rows.",D1-C1,True
D1B1-P1-002,P1,Parser Coverage,Dashboard has no KOSPI-specific Core15 parser for RSI/Bollinger/NATR/HV/level/yield_slope.,"Families used=['global_credit_stress', 'kospi_bollinger', 'kospi_hv_n80', 'kospi_natr_n80', 'kospi_rsi', 'us_10y_2y_spread', 'us_10y_3m_spread', 'us_10y_real_yield_level', 'us_10y_slope', 'us_hy_oas_level', 'us_ig_oas_level', 'usdkrw_level', 'vix_level', 'vix_spread']",Component charts and live signals cannot be regenerated.,D1-C1,True
D1B1-P1-003,P1,Source Consistency,KOSPI close/RSI/BB/NATR/HV must share one ^KS11 source tail.,Macro5 frozen benchmark close only; no source consistency rule,Different fetch paths can create different latest dates like prior Macro4 incident.,D1-C2,True
D1B1-P1-004,P1,Cloud Defense,"No cache-bypass retry, last-known-good, or no-regression defense for KOSPI.",Macro5 no network/cache namespace for live,Cloud may show stale or regressed source without warning.,D1-C2,True
D1B1-P1-005,P1,Lineage,"Two Combo1 candidates are recomputed references, not stored raw bank parity.","source_signal_parity=RECOMPUTED_FROM_CORE15_COMPONENTS for ad654f06,9f010558",Need stronger live overlap parity before operation.,D1-C1,True
D1B1-P2-001,P2,Date Semantics,Frozen 기준일 may be read as current market date.,frozen_reference_end=2026-07-28,User may treat stale frozen state as today’s signal.,D1-C3,False
D1B1-P2-002,P2,UI Gap,Macro5 status and backtest panels do not match Macro6 structure.,screenshot comparison: Macro5 uses st.dataframe/vertical text,User requested Macro4-like view; current viewer is visibly different.,D1-C3,False
D1B1-P2-003,P2,Raw Lines,Component raw line and threshold charts are unavailable in Macro5.,component chart asset has risk_state only,Hard to diagnose why a component is ON/OFF.,D1-C1/D1-C3,False
D1B1-P2-004,P2,Warning UI,No source latest/fallback/stale warnings in Macro5.,No data status table in screenshot/code,User cannot distinguish frozen/live/stale status.,D1-C2/D1-C3,False
D1B1-P3-001,P3,CSS,Macro5 dataframe/card styling differs from Macro6 HTML panels.,screenshot comparison,Visual mismatch; not signal integrity issue.,D1-C3,False
D1B1-P3-002,P3,Control Defaults,Macro5 component multiselect appears empty in screenshot.,매크로지표5_1.png shows Choose options,Usability gap; should default to candidate components.,D1-C3,False
D1B1-P3-003,P3,Debug,Macro5 lacks debug/source tail expander.,No macro5 debug helper,Useful for support once live engine exists.,D1-C2,False
D1B1-P3-004,P3,Live/Frozen Labels,Macro5 shadow/frozen text exists but should become status badge.,helper text only,Improves recognition.,D1-C3,False
