component,official_frozen_source,live_source,source_identifier,raw_unit,transformation,proxy_used,baseline_timeline_reuse,stitched_timeline,source_fallback,revised_history_possible,point_in_time,availability_lag_bdays,status,notes
kospi_index_level / RSI / Bollinger / NATR / HV,yahoo:^KS11,MISSING_IN_DASHBOARD_RUNTIME,yahoo:^KS11,OHLCV,"close/high/low derived signals, safe direction by family",False,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,0,PARTIAL,Frozen source exists; live loader not connected. Raw source consistency required across KOSPI-derived components.
usdkrw_level,yahoo:KRW=X,MISSING_IN_DASHBOARD_RUNTIME,yahoo:KRW=X,FX close,safe=-USDKRW; level grid,False,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PARTIAL,Lag fixed to 1 business day in source config.
vix_level,fred:VIXCLS,MISSING_IN_DASHBOARD_RUNTIME,fred:VIXCLS,index close,safe=-VIX; level grid,False,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PARTIAL,Macro6 has VIX paths but KOSPI official source is FRED VIXCLS.
vix_spread,fred:VIXCLS - fred:VXVCLS,MISSING_IN_DASHBOARD_RUNTIME,fred:VIXCLS - fred:VXVCLS,index spread,safe=-(VIX-VIX3M),False,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PARTIAL,VIX3M starts 2007-12-04; 210 late candidates excluded in Stage03C.
us_10y_real_yield_level,fred:DFII10,MISSING_IN_DASHBOARD_RUNTIME,fred:DFII10,percent yield,safe=-DFII10; level grid,False,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PARTIAL,US data lag must align to KOSPI trading calendar.
us_10y_2y_spread,fred:DGS10 - fred:DGS2,MISSING_IN_DASHBOARD_RUNTIME,fred:DGS10 - fred:DGS2,percent spread,derived spread; safe direction per contract,False,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PARTIAL,Derived from lagged FRED components.
us_10y_3m_spread,fred:DGS10 - fred:DGS3MO,MISSING_IN_DASHBOARD_RUNTIME,fred:DGS10 - fred:DGS3MO,percent spread,derived spread; safe direction per contract,False,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PARTIAL,Derived from lagged FRED components.
us_10y_slope,fred:DGS10 rolling slope,MISSING_IN_DASHBOARD_RUNTIME,fred:DGS10 rolling slope,yield slope,nominal yield slope grid,False,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PARTIAL,Needs Stage03C signal function contract in live engine.
us_hy_oas_level,fred:DBAA - fred:DGS10,MISSING_IN_DASHBOARD_RUNTIME,fred:DBAA - fred:DGS10,percent proxy spread,HY_proxy=DBAA-DGS10; safe=-HY_proxy,True,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PASS_POLICY_MISSING_RUNTIME,Proxy-only. Exact OAS must not be stitched without new model version.
us_ig_oas_level,fred:DAAA - fred:DGS10,MISSING_IN_DASHBOARD_RUNTIME,fred:DAAA - fred:DGS10,percent proxy spread,IG_proxy=DAAA-DGS10; safe=-IG_proxy,True,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,YES_FRED_OR_YAHOO_CAN_REVISE,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,1,PASS_POLICY_MISSING_RUNTIME,Proxy-only. Exact OAS must not be stitched without new model version.
global_credit_stress,"mean rolling zscore(HY proxy, NFCI, VIX)",MISSING_IN_DASHBOARD_RUNTIME,"mean rolling zscore(HY proxy, NFCI, VIX)",z-score composite,credit_stress_raw mean rolling z-score; safe direction as signal contract,True,NO,NO,NOT_APPROVED_FOR_KOSPI_LIVE,UNVERIFIED,LATEST_AVAILABLE_HISTORY_WITH_FIXED_LAG,3,PARTIAL,NFCI weekly lag=3; component availability must be applied before composite.
