category,feature,macro6_function_or_location,macro6_status,macro5_function_or_location,macro5_status,kospi_official_contract,gap_type,risk,recommended_stage,evidence,notes
데이터 수집,Yahoo benchmark fetch,technical_signal_dashboard.py:4194,PASS,technical_signal_dashboard.py:12864,MISSING,KOSPI source is yahoo:^KS11 in frozen config; live needs same source/version policy,LIVE_ENGINE_GAP,P0,D1-C1,Macro6 uses _yf_close; Macro5 asset benchmark rows=7292,
데이터 수집,Yahoo VIX/VIX3M fetch,technical_signal_dashboard.py:6578,PASS,macro5_kospi,MISSING,"KOSPI uses FRED VIXCLS/VXVCLS with availability lag 1, not dashboard live fetch yet",LIVE_ENGINE_GAP,P1,D1-C1,Source config has vix/vix3m; Macro5 has frozen component states only,
데이터 수집,FRED fetch,technical_signal_dashboard.py:7559,PASS,macro5_kospi,MISSING,US rates/HY/IG/NFCI/VIX need stable live FRED loader,LIVE_ENGINE_GAP,P0,D1-C1,Macro5 has no FRED call path,
데이터 수집,Proxy source fetch,not found,PASS,macro5_kospi,MISSING,"HY=DBAA-DGS10, IG=DAAA-DGS10 proxy-only; exact OAS forbidden without new model",SOURCE_POLICY_GAP,P0,D1-C1,KOSPI source_config_snapshot.yaml proxy_v1,
데이터 수집,source fallback,technical_signal_dashboard.py:6578,PASS,macro5_kospi,MISSING,No KOSPI live fallback approved yet; fallback must preserve official source policy,FRESHNESS_GAP,P1,D1-C2,Macro5 frozen viewer cannot fallback,
데이터 수집,source별 cache TTL / sync bucket,technical_signal_dashboard.py:14995,PASS,macro5_kospi,MISSING,KOSPI live cache namespace must include market/source/candidate hashes,CACHE_GAP,P1,D1-C2,Macro6 sync_bucket=60; Macro5 no live cache,
시간·최신성,독립 기대 최신 거래일,technical_signal_dashboard.py:6558,PARTIAL,macro5_kospi,MISSING,KRX expected latest must not reuse ^KS11 last row,FRESHNESS_GAP,P0,D1-C2,Macro6 expected latest is S&P/NYSE-oriented; KOSPI has none,
시간·최신성,source latest / signal latest / displayed latest 분리,technical_signal_dashboard.py:8685,PASS,macro5_kospi,PARTIAL,KOSPI must distinguish observation/available/signal/T+1/displayed dates,DATE_SEMANTICS_GAP,P2,D1-C2,Macro5 displays Frozen 기준일 only,
시간·최신성,stale 거래일 계산,not found,PASS,macro5_kospi,MISSING,KRX stale days versus expected completed trading date,FRESHNESS_GAP,P1,D1-C2,Macro5 no stale calculation,
시간·최신성,주간 데이터 표시,not found,PARTIAL,macro5_kospi,MISSING,NFCI/credit stress uses component availability; weekly cadence must be shown,DATE_SEMANTICS_GAP,P2,D1-C2,Current Macro5 does not show source cadence,
신호 계산,official component parser,technical_signal_dashboard.py:7748,PARTIAL,macro5_kospi,MISSING,Core15 parser required for KOSPI RSI/BB/NATR/HV/level/yield_slope,LIVE_ENGINE_GAP,P0,D1-C1,Macro5 reads component_reference_signals.parquet instead of parsing,
신호 계산,RSI 지원,technical_signal_dashboard.py:7748,PARTIAL,macro5_kospi,MISSING,KOSPI RSI grid/use must be computed from frozen/live close with official rule,PARSER_GAP,P1,D1-C1,Final9 uses kospi_rsi components=2,
신호 계산,Bollinger 지원,not found,PARTIAL,macro5_kospi,MISSING,KOSPI Bollinger needs OHLC/close source and parser,PARSER_GAP,P1,D1-C1,Final9 uses kospi_bollinger components=2,
신호 계산,NATR 지원,technical_signal_dashboard.py:7748,MISSING,macro5_kospi,MISSING,NATR_N uses KOSPI high/low/close and Wilder ATR contract,PARSER_GAP,P1,D1-C1,Final9 uses natr components=2,
신호 계산,HV 지원,technical_signal_dashboard.py:7748,MISSING,macro5_kospi,MISSING,HV_N uses KOSPI close log-return rolling std,PARSER_GAP,P1,D1-C1,Final9 uses hv components=1,
신호 계산,availability 적용,not found,PASS,macro5_kospi,FROZEN_ONLY,KOSPI source_config lag must be applied before Core15 signals,AVAILABILITY_GAP,P0,D1-C1,"Frozen signals include policy, but live runtime does not",
신호 계산,active_count,technical_signal_dashboard.py:8039,PASS,macro5_kospi,PASS_FROZEN,Final9 asset stores on_count/active_count; live must block on invalid component,MISSING_HANDLING_GAP,P1,D1-C1,Macro5 computes latest active_count from frozen component rows,
신호 계산,K/L hysteresis,technical_signal_dashboard.py:8039,PASS,macro5_kospi,FROZEN_ONLY,Combo1/2 K/L raw state must be recomputed from raw component risk states,LIVE_ENGINE_GAP,P0,D1-C1,Macro5 does not recompute K/L in runtime,
신호 계산,Combo2 raw state,technical_signal_dashboard.py:8102,PASS,macro5_kospi,FROZEN_ONLY,"Combo2 must use Combo1 raw risk_state, not T+1 position",T1_GAP,P0,D1-C1,Stage06A manifest signal_semantics=COMBO1_RAW_RISK_STATE,
신호 계산,T+1 적용,not found,PASS,macro5_kospi,PASS_FROZEN,t1_position[t]=1-raw_risk_state[t-1],T1_REVIEW,P1,D1-C1,RAW_RISK_STATE; t1_position[t] = 1 - raw_risk_state[t-1],
신호 계산,거래비용 계약,not found,PASS,macro5_kospi,FROZEN_METRIC_ONLY,Official metric uses T+1 10bp; live display should not recompute cost unless full parity path exists,METRIC_GAP,P2,D1-C3,transaction_cost_bps=10,
신호 계산,cash-return 계약,not found,PARTIAL,macro5_kospi,FROZEN_METRIC_ONLY,cash_return_applied=false for Final9 asset; Stage07B records zero cash contract,METRIC_GAP,P2,D1-C3,cash_return_applied=False,
운영 방어,캐시 우회 재조회,technical_signal_dashboard.py:6578,PARTIAL,macro5_kospi,MISSING,KOSPI Yahoo/FRED live stale should retry once with bypass path,FRESHNESS_GAP,P1,D1-C2,No Macro5 network request,
